Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Duke,ACC,,31,3,82.7,61.9,20.79,,9.51,,14.05,16.26,30.31,130.24,85.97,44.26
2,Auburn,SEC,,28,5,83.8,69.6,14.24,,15.33,,17.94,11.63,29.57,130.71,89.21,41.5
3,Houston,Big 12,,30,4,74.2,58.5,15.74,,12.7,,7.47,20.97,28.44,125.53,82.59,42.93
4,Florida,SEC,,30,4,85.4,69.2,16.18,,11.81,,17.8,10.18,27.98,128.17,89.09,39.08
5,Alabama,SEC,,25,8,91.1,81.4,9.7,,16.26,,24.71,1.25,25.96,127.91,92.51,35.41
6,Tennessee,SEC,,27,7,74.7,63,11.71,,13.15,,6.37,18.49,24.86,121.24,85.26,35.98
7,Texas Tech,Big 12,,25,8,80.9,67.6,13.33,,10.57,,13.58,10.32,23.9,127.75,92.78,34.97
8,Gonzaga,WCC,,25,8,86.6,69.6,17,,6.62,,17.27,6.35,23.62,125.02,92.14,32.88
9,Maryland,Big Ten,,25,8,81.7,67,14.67,,8.86,,12.54,10.99,23.53,120.82,88.54,32.28
10,Arizona,Big 12,,22,12,81.7,72.4,9.29,,13.82,,16.13,6.99,23.12,124.52,91.89,32.63
11,Iowa State,Big 12,,24,9,80.4,68.1,12.3,,10.73,,12.56,10.47,23.04,121.37,88.81,32.56
12,Michigan State,Big Ten,,27,6,78.2,67.2,10.91,,11.56,,9.96,12.51,22.46,120.38,88.67,31.71
13,St. John's (NY),Big East,,30,4,78.7,65.9,12.82,,8.93,,10.7,11.06,21.76,115.58,85.11,30.47
14,Illinois,Big Ten,,21,12,83.8,74.6,9.21,,12.49,,17.06,4.64,21.7,123.46,93.58,29.89
15,Kentucky,SEC,,22,11,85.3,77.9,7.42,,14.18,,17.8,3.81,21.61,125.97,95.92,30.05
16,Wisconsin,Big Ten,,26,9,79.7,70.4,9.29,,11.65,,12.09,8.85,20.94,123.23,93.58,29.65
17,Kansas,Big 12,,21,12,76.2,69.3,6.94,,13.77,,9.94,10.76,20.7,118.46,88.6,29.87
18,Purdue,Big Ten,,22,11,77.9,71.1,6.79,,13.89,,10.7,9.98,20.68,126.38,96.86,29.52
19,Missouri,SEC,,22,11,84.5,73.8,10.61,,9.78,,15.21,5.18,20.39,126.58,97.9,28.68
20,Michigan,Big Ten,,25,9,78.3,71.2,7.03,,13.13,,11.63,8.53,20.16,118.14,90.33,27.81
21,Texas A&M,SEC,,22,10,74.3,67.9,6.38,,13.66,,7.28,12.76,20.04,118.09,89.13,28.96
22,Brigham Young,Big 12,,24,9,81,70.9,10.09,,9.71,,13.6,6.2,19.8,124.47,96.27,28.2
23,Baylor,Big 12,,19,14,76.5,69.2,7.3,,13.57,,10.09,9.33,19.42,124.06,96.17,27.9
24,Louisville,ACC,,27,7,78.6,68.9,9.68,,9.61,,10.74,8.55,19.29,119.72,92.54,27.18
25,UCLA,Big Ten,,22,10,74.8,65.7,9.03,,10.19,,5.89,13.33,19.22,119.73,92.18,27.55
26,Marquette,Big East,,23,10,76.9,68.5,8.33,,10.55,,9.83,9.05,18.88,119.65,92.84,26.81
27,Clemson,ACC,,27,6,76.3,65.7,10.67,,7.84,,7.07,11.44,18.5,120.6,93.1,27.5
28,Mississippi,SEC,,22,11,77.2,71.7,5.45,,12.47,,9.72,8.2,17.92,118.67,93.14,25.53
29,Ohio State,Big Ten,,17,15,78.8,73.5,5.28,,12.6,,11.15,6.72,17.88,119.91,95.1,24.8
30,Connecticut,Big East,,23,10,77.4,68,9.36,,8.47,,8.78,9.05,17.83,123.71,98,25.71
31,Saint Mary's (CA),WCC,,28,5,73.5,60.7,12.85,,5.74,,1.47,16.26,17.74,117.19,90.31,26.89
32,Mississippi State,SEC,,21,12,79.8,74.2,5.61,,11.92,,11.49,6.04,17.53,120.68,95.85,24.83
33,Oregon,Big Ten,,24,9,76.2,70.9,5.27,,12.21,,9.03,8.45,17.49,118.32,93.57,24.75
34,Georgia,SEC,,20,12,75.6,69.3,6.25,,10.98,,6.72,10.51,17.23,117.42,93.21,24.21
35,North Carolina,ACC,,22,13,80.8,75,5.83,,11.33,,14.01,3.15,17.16,120.72,96.47,24.24
36,Arkansas,SEC,,20,13,76.6,71.2,5.45,,11.18,,8.29,8.35,16.64,114.72,91.83,22.9
37,Creighton,Big East,,24,10,75.2,69.5,5.71,,10.64,,8.23,8.12,16.35,119.12,95.54,23.58
38,Texas,SEC,,19,15,78.4,72.2,6.21,,9.98,,10.19,5.99,16.18,119.83,96.97,22.86
39,Xavier,Big East,,21,11,78,70.9,7.16,,8.41,,10.13,5.43,15.56,118.13,96.18,21.95
40,Oklahoma,SEC,,20,13,78.8,74.8,4,,11.42,,10.63,4.79,15.42,120.68,98.83,21.86
41,West Virginia,Big 12,,19,13,68.2,64.8,3.34,,11.94,,1.38,13.9,15.28,112.31,90.55,21.76
42,Virginia Commonwealth,A-10,,28,6,77.1,62.4,14.74,,1.35,,5.01,10.16,15.17,116.19,93.51,22.68
43,New Mexico,MWC,,26,7,81.2,70.8,10.48,,5.96,,11.67,3.48,15.15,113.45,92.83,20.62
44,Vanderbilt,SEC,,20,12,79.6,74.8,4.84,,10.18,,11.71,3.31,15.02,119.71,98.62,21.1
45,Southern Methodist,ACC,,23,10,80,71.1,8.91,,6.02,,10.38,4.55,14.93,117.93,97.48,20.45
